 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -- Summary of PEER Ground Motion Database Search Criteria --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitude Min:,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitude Max:,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rrup Min (km):,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rrup Max (km):,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rjb Min (km):,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rjb Max (km):,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vs30 Min (m/sec):,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vs30 Max (m/sec):,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9-95 Min (sec):,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9-95 Max (sec):,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale Factor Min:,-1.00E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale Factor Max:,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26,1.576,1.65573311,2.18390329,1.25529923,1.25876889,1.07738053,2.23408116,1.183953,1.42576478,1.75100794,1.35136775,2.15934113,2.45832486,1.65734103,,,,,,,,,,,,,,,,
0.28,1.576,1.62371325,2.2068542,1.19466193,1.22425029,1.05308292,2.1439352,1.24967418,1.4368706,2.32646083,1.17408638,1.91254203,2.43364493,1.28258509,,,,,,,,,,,,,,,,
0.29,1.576,1.71764231,2.46498132,1.19688335,1.30200579,1.12606567,2.50079699,1.20677889,1.48383374,2.72192117,1.16221609,1.76660115,2.64870954,1.25749405,,,,,,,,,,,,,,,,
0.3,1.576,1.76663146,2.66585208,1.17072764,1.41483199,1.1149182,2.86274181,1.1455575,1.48926246,2.97590247,1.1593101,1.70971348,2.6724369,1.12163968,,,,,,,,,,,,,,,,
0.32,1.576,1.8475759,2.91900814,1.16941665,1.55897689,1.05152737,3.36363244,1.02599253,1.36241617,2.66385313,1.27127888,1.66253709,3.21842056,1.29712393,,,,,,,,,,,,,,,,
0.34,1.576,1.77588854,2.77778394,1.13535832,1.29515878,1.02443918,3.12746963,0.993842,1.61070023,2.26770952,1.23013268,1.33258975,3.28574021,1.59110342,,,,,,,,,,,,,,,,
0.35,1.576,1.72595593,2.67406221,1.11400695,1.18797791,1.07209156,2.84950562,1.00450598,1.60653953,2.15600893,1.23099022,1.34402325,3.32614947,1.48176686,,,,,,,,,,,,,,,,
0.36,1.576,1.62514742,2.47721448,1.06615885,1.13425349,1.16997726,2.51700531,0.94936363,1.50053231,1.97027471,1.18816293,1.31628335,3.19723737,1.30838384,,,,,,,,,,,,,,,,
0.38,1.576,1.37655397,1.89506292,0.99991446,1.10338825,1.2783531,1.89251593,0.86095201,1.26432428,1.6110211,1.09074755,1.08365844,2.3996503,1.18092871,,,,,,,,,,,,,,,,
0.4,1.576,1.26579442,1.51741818,1.05589582,1.27008528,1.32930467,1.4934183,0.93088779,1.22708708,1.35609766,1.13687266,1.03986909,1.7708031,1.10351859,,,,,,,,,,,,,,,,
